Date,Open,High,Low,Close,AdjustedClose,Volume
2017-01-03,57.9,58.165,57.38,58.075,54.595,230255200
2017-01-04,57.925,58.255,57.875,58.01,54.534,168944800
2017-01-05,57.96,58.43,57.905,58.305,54.812,177548800
2017-01-06,58.39,59.08,58.235,58.955,55.423,254015200
2017-01-09,58.975,59.715,58.97,59.495,55.93,268495200
2017-01-10,59.385,59.69,59.15,59.555,55.987,195696800
2017-01-11,59.37,59.965,59.3,59.875,56.288,220708800
2017-01-12,59.45,59.65,59.105,59.625,56.053,216689600
2017-01-13,59.555,59.81,59.405,59.52,55.954,208895200
2017-01-17,59.17,60.12,59.11,60.0,56.405,275518400
2017-01-18,60.0,60.25,59.855,59.995,56.4,189704000
2017-01-19,59.7,60.045,59.685,59.89,56.302,204778400
2017-01-20,60.225,60.225,59.865,60.0,56.405,260783200
2017-01-23,60.0,60.405,59.885,60.04,56.443,176401600
2017-01-24,59.775,60.05,59.75,59.985,56.391,185688000
2017-01-25,60.21,61.05,60.14,60.94,57.289,259020800
2017-01-26,60.835,61.22,60.8,60.97,57.317,210700800
2017-01-27,61.07,61.175,60.8,60.975,57.322,164503200
2017-01-30,60.465,60.815,60.33,60.815,57.171,243020000
2017-01-31,60.575,60.695,60.31,60.675,57.04,393608000
2017-02-01,63.515,65.245,63.505,64.375,60.518,895880000
2017-02-02,63.99,64.695,63.89,64.265,60.415,269683200
2017-02-03,64.155,64.595,64.08,64.54,60.673,196058400
2017-02-06,64.565,65.25,64.45,65.145,61.242,214767200
2017-02-07,65.27,66.045,65.225,65.765,61.825,305470400
2017-02-08,65.675,66.11,65.61,66.02,62.064,184032800
2017-02-09,65.825,66.225,65.56,66.21,62.513,226799200
2017-02-10,66.23,66.47,66.025,66.06,62.371,160524000
2017-02-13,66.54,66.91,66.375,66.645,62.924,184283200
2017-02-14,66.735,67.545,66.625,67.51,63.74,265809600
2017-02-15,67.76,68.135,67.31,67.755,63.972,284984800
2017-02-16,67.835,67.95,67.42,67.675,63.896,180676800
2017-02-17,67.55,67.915,67.55,67.86,64.071,177585600
2017-02-21,68.115,68.375,67.99,68.35,64.533,196057600
2017-02-22,68.215,68.56,68.055,68.555,64.727,166695200
2017-02-23,68.69,68.74,68.15,68.265,64.453,166305600
2017-02-24,67.955,68.33,67.64,68.33,64.514,174212800
2017-02-27,68.57,68.72,68.14,68.465,64.642,162059200
2017-02-28,68.54,68.72,68.35,68.495,64.67,187863200
2017-03-01,68.945,70.075,68.8,69.895,65.992,291316800
2017-03-02,70.0,70.14,69.38,69.48,65.6,209688000
2017-03-03,69.39,69.915,69.295,69.89,65.987,168864800
2017-03-06,69.685,69.885,69.3,69.67,65.78,174000000
2017-03-07,69.53,69.99,69.395,69.76,65.865,139570400
2017-03-08,69.475,69.9,69.41,69.5,65.619,149657600
2017-03-09,69.37,69.395,68.525,69.34,65.468,177247200
2017-03-10,69.625,69.68,69.32,69.57,65.685,156902400
2017-03-13,69.425,69.715,69.41,69.6,65.714,139373600
2017-03-14,69.65,69.825,69.42,69.495,65.614,122472800
2017-03-15,69.705,70.375,69.515,70.23,66.308,205534400
2017-03-16,70.36,70.51,70.13,70.345,66.417,153856000
2017-03-17,70.5,70.5,69.945,69.995,66.086,351080000
2017-03-20,70.2,70.75,70.115,70.73,66.78,172336000
2017-03-21,71.055,71.4,69.865,69.92,66.016,316239200
2017-03-22,69.925,70.8,69.88,70.71,66.762,206881600
2017-03-23,70.63,70.79,70.305,70.46,66.525,162770400
2017-03-24,70.75,70.87,70.175,70.32,66.393,179164800
2017-03-27,69.695,70.61,69.31,70.44,66.507,188600800
2017-03-28,70.455,72.02,70.31,71.9,67.885,266998400
2017-03-29,71.84,72.245,71.595,72.06,68.036,233520000
2017-03-30,72.095,72.25,71.75,71.965,67.946,169658400
2017-03-31,71.86,72.135,71.505,71.83,67.819,157293600
2017-04-03,71.855,72.06,71.525,71.85,67.838,159885600
2017-04-04,71.625,72.445,71.585,72.385,68.343,159131200
2017-04-05,72.11,72.73,71.905,72.01,67.989,221743200
2017-04-06,72.145,72.26,71.725,71.83,67.819,169192000
2017-04-07,71.865,72.09,71.635,71.67,67.668,133377600
2017-04-10,71.8,71.94,71.45,71.585,67.588,151467200
2017-04-11,71.47,71.675,70.03,70.815,66.861,243035200
2017-04-12,70.8,71.075,70.505,70.9,66.941,162800000
2017-04-13,70.955,71.19,70.525,70.525,66.587,142583200
2017-04-17,70.74,70.94,70.435,70.915,66.955,132656800
2017-04-18,70.705,71.02,70.555,70.6,66.658,117580000
2017-04-19,70.94,71.0,70.225,70.34,66.412,138627200
2017-04-20,70.61,71.46,70.58,71.22,67.243,186556800
2017-04-21,71.22,71.34,70.925,71.135,67.163,138567200
2017-04-24,71.75,71.975,71.59,71.82,67.81,137074400
2017-04-25,71.955,72.45,71.935,72.265,68.23,150972000
2017-04-26,72.235,72.3,71.69,71.84,67.828,160329600
2017-04-27,71.96,72.08,71.655,71.895,67.88,113970400
2017-04-28,72.045,72.15,71.635,71.825,67.814,166883200
2017-05-01,72.55,73.6,72.48,73.29,69.197,268823200
2017-05-02,73.77,74.045,73.42,73.755,69.636,362817600
2017-05-03,72.795,73.745,72.135,73.53,69.424,365576000
2017-05-04,73.26,73.57,72.905,73.265,69.174,186975200
2017-05-05,73.38,74.49,73.38,74.48,70.321,218621600
2017-05-08,74.515,76.85,74.515,76.505,72.233,390019200
2017-05-09,76.935,77.44,76.725,76.995,72.696,313043200
2017-05-10,76.815,76.97,76.055,76.63,72.351,206445600
2017-05-11,76.225,77.035,76.155,76.975,72.977,218040800
2017-05-12,77.35,78.21,77.335,78.05,73.996,260216000
2017-05-15,78.005,78.325,77.525,77.85,73.806,208077600
2017-05-16,77.97,78.03,77.36,77.735,73.697,160388000
2017-05-17,76.8,77.285,74.855,75.125,71.223,406141600
2017-05-18,75.635,76.67,75.565,76.27,72.308,268545600
2017-05-19,76.69,76.99,76.315,76.53,72.555,215686400
2017-05-22,77.0,77.29,76.455,76.995,72.996,183731200
2017-05-23,77.45,77.45,76.655,76.9,72.906,159351200
2017-05-24,76.92,77.085,76.335,76.67,72.688,153424000
2017-05-25,76.865,77.175,76.515,76.935,72.939,153884800
2017-05-26,77.0,77.12,76.655,76.805,72.815,175420800
2017-05-30,76.71,77.215,76.665,76.835,72.844,161015200
2017-05-31,76.985,77.085,76.19,76.38,72.413,195609600
2017-06-01,76.585,76.665,76.11,76.59,72.612,131232800
2017-06-02,76.79,77.725,76.445,77.725,73.688,222165600
2017-06-05,77.17,77.225,76.73,76.965,72.967,202653600
